title,description,category,brand,price,salePrice,totalStock,image
Zara Kids Item 17,Best seller of the season,Kids,Zara,3639,3374,27,"https://source.unsplash.com/400x400/?product,zara-kids-17"
Adidas Accessories Item 18,Limited edition design,Accessories,Adidas,2471,2227,80,"https://source.unsplash.com/400x400/?product,adidas-accessories-18"
Adidas Men Item 19,High quality and comfortable,Men,Adidas,3535,3255,43,"https://source.unsplash.com/400x400/?product,adidas-men-19"
Puma Accessories Item 20,Limited edition design,Accessories,Puma,1915,1738,75,"https://source.unsplash.com/400x400/?product,puma-accessories-20"
Nike Kids Item 21,Limited edition design,Kids,Nike,3393,3209,24,"https://source.unsplash.com/400x400/?product,nike-kids-21"
Puma Footwear Item 22,Trendy and stylish,Footwear,Puma,2470,2367,49,"https://source.unsplash.com/400x400/?product,puma-footwear-22"
Puma Kids Item 23,Trendy and stylish,Kids,Puma,1036,933,72,"https://source.unsplash.com/400x400/?product,puma-kids-23"
Levi's Women Item 24,Trendy and stylish,Women,Levi's,3123,3008,39,"https://source.unsplash.com/400x400/?product,levi's-women-24"
H&M Footwear Item 25,Perfect for daily wear,Footwear,H&M,2166,1869,33,"https://source.unsplash.com/400x400/?product,h&m-footwear-25"
H&M Footwear Item 26,Best seller of the season,Footwear,H&M,2116,1885,26,"https://source.unsplash.com/400x400/?product,h&m-footwear-26"
H&M Accessories Item 27,Made from sustainable materials,Accessories,H&M,4681,4436,16,"https://source.unsplash.com/400x400/?product,h&m-accessories-27"
Adidas Footwear Item 28,Made from sustainable materials,Footwear,Adidas,2212,2045,37,"https://source.unsplash.com/400x400/?product,adidas-footwear-28"
Nike Footwear Item 29,Limited edition design,Footwear,Nike,2640,2578,10,"https://source.unsplash.com/400x400/?product,nike-footwear-29"
H&M Men Item 30,Trendy and stylish,Men,H&M,3754,3696,65,"https://source.unsplash.com/400x400/?product,h&m-men-30"
Zara Kids Item 31,Trendy and stylish,Kids,Zara,666,407,95,"https://source.unsplash.com/400x400/?product,zara-kids-31"
Zara Women Item 32,Best seller of the season,Women,Zara,4988,4690,64,"https://source.unsplash.com/400x400/?product,zara-women-32"
Levi's Women Item 33,Limited edition design,Women,Levi's,4244,3993,53,"https://source.unsplash.com/400x400/?product,levi's-women-33"
Puma Kids Item 34,Perfect for daily wear,Kids,Puma,2634,2378,16,"https://source.unsplash.com/400x400/?product,puma-kids-34"
H&M Women Item 35,Perfect for daily wear,Women,H&M,1336,1124,79,"https://source.unsplash.com/400x400/?product,h&m-women-35"
Puma Accessories Item 36,Made from sustainable materials,Accessories,Puma,3869,3596,58,"https://source.unsplash.com/400x400/?product,puma-accessories-36"
Levi's Men Item 37,High quality and comfortable,Men,Levi's,4274,4054,40,"https://source.unsplash.com/400x400/?product,levi's-men-37"
H&M Kids Item 38,Trendy and stylish,Kids,H&M,2277,2002,23,"https://source.unsplash.com/400x400/?product,h&m-kids-38"
Zara Women Item 39,Limited edition design,Women,Zara,3705,3495,66,"https://source.unsplash.com/400x400/?product,zara-women-39"
Levi's Footwear Item 40,Made from sustainable materials,Footwear,Levi's,1099,948,13,"https://source.unsplash.com/400x400/?product,levi's-footwear-40"
Adidas Kids Item 41,Made from sustainable materials,Kids,Adidas,4411,4249,93,"https://source.unsplash.com/400x400/?product,adidas-kids-41"
Puma Kids Item 42,Trendy and stylish,Kids,Puma,3075,2931,37,"https://source.unsplash.com/400x400/?product,puma-kids-42"
Zara Footwear Item 43,Perfect for daily wear,Footwear,Zara,2164,1961,59,"https://source.unsplash.com/400x400/?product,zara-footwear-43"
Adidas Kids Item 44,Perfect for daily wear,Kids,Adidas,1308,1032,60,"https://source.unsplash.com/400x400/?product,adidas-kids-44"
Puma Kids Item 45,Perfect for daily wear,Kids,Puma,1104,939,79,"https://source.unsplash.com/400x400/?product,puma-kids-45"
Puma Men Item 46,Made from sustainable materials,Men,Puma,3912,3802,85,"https://source.unsplash.com/400x400/?product,puma-men-46"
Nike Accessories Item 47,High quality and comfortable,Accessories,Nike,4801,4516,46,"https://source.unsplash.com/400x400/?product,nike-accessories-47"
Levi's Kids Item 48,High quality and comfortable,Kids,Levi's,667,577,23,"https://source.unsplash.com/400x400/?product,levi's-kids-48"
Nike Accessories Item 49,Perfect for daily wear,Accessories,Nike,3624,3548,100,"https://source.unsplash.com/400x400/?product,nike-accessories-49"
Adidas Men Item 50,Limited edition design,Men,Adidas,1955,1674,46,"https://source.unsplash.com/400x400/?product,adidas-men-50"
Levi's Accessories Item 51,Perfect for daily wear,Accessories,Levi's,4946,4850,27,"https://source.unsplash.com/400x400/?product,levi's-accessories-51"
Adidas Men Item 52,Perfect for daily wear,Men,Adidas,4162,3905,62,"https://source.unsplash.com/400x400/?product,adidas-men-52"
Zara Women Item 53,Best seller of the season,Women,Zara,4778,4645,26,"https://source.unsplash.com/400x400/?product,zara-women-53"
Levi's Accessories Item 54,High quality and comfortable,Accessories,Levi's,2564,2501,73,"https://source.unsplash.com/400x400/?product,levi's-accessories-54"
Nike Women Item 55,Perfect for daily wear,Women,Nike,1362,1136,36,"https://source.unsplash.com/400x400/?product,nike-women-55"
Puma Women Item 56,Trendy and stylish,Women,Puma,2220,2104,21,"https://source.unsplash.com/400x400/?product,puma-women-56"
Zara Footwear Item 57,High quality and comfortable,Footwear,Zara,2625,2354,18,"https://source.unsplash.com/400x400/?product,zara-footwear-57"
Puma Men Item 58,High quality and comfortable,Men,Puma,1738,1518,20,"https://source.unsplash.com/400x400/?product,puma-men-58"
Nike Women Item 59,Limited edition design,Women,Nike,658,547,16,"https://source.unsplash.com/400x400/?product,nike-women-59"
Puma Women Item 60,Perfect for daily wear,Women,Puma,4999,4809,17,"https://source.unsplash.com/400x400/?product,puma-women-60"
Puma Women Item 61,High quality and comfortable,Women,Puma,1729,1600,24,"https://source.unsplash.com/400x400/?product,puma-women-61"
Nike Footwear Item 62,Limited edition design,Footwear,Nike,2585,2338,18,"https://source.unsplash.com/400x400/?product,nike-footwear-62"
Puma Men Item 63,Best seller of the season,Men,Puma,2822,2563,87,"https://source.unsplash.com/400x400/?product,puma-men-63"
Puma Men Item 64,Perfect for daily wear,Men,Puma,3152,3012,57,"https://source.unsplash.com/400x400/?product,puma-men-64"
H&M Women Item 65,Made from sustainable materials,Women,H&M,1379,1284,87,"https://source.unsplash.com/400x400/?product,h&m-women-65"
Nike Accessories Item 66,Perfect for daily wear,Accessories,Nike,2522,2348,77,"https://source.unsplash.com/400x400/?product,nike-accessories-66"
Levi's Accessories Item 67,High quality and comfortable,Accessories,Levi's,2129,1946,69,"https://source.unsplash.com/400x400/?product,levi's-accessories-67"
Puma Women Item 68,Made from sustainable materials,Women,Puma,3518,3237,25,"https://source.unsplash.com/400x400/?product,puma-women-68"
Zara Footwear Item 69,High quality and comfortable,Footwear,Zara,2889,2791,71,"https://source.unsplash.com/400x400/?product,zara-footwear-69"
Adidas Women Item 70,Best seller of the season,Women,Adidas,1643,1361,91,"https://source.unsplash.com/400x400/?product,adidas-women-70"
H&M Kids Item 71,Perfect for daily wear,Kids,H&M,2861,2796,28,"https://source.unsplash.com/400x400/?product,h&m-kids-71"
Zara Women Item 72,Made from sustainable materials,Women,Zara,3791,3672,83,"https://source.unsplash.com/400x400/?product,zara-women-72"
Levi's Accessories Item 73,Limited edition design,Accessories,Levi's,2013,1763,95,"https://source.unsplash.com/400x400/?product,levi's-accessories-73"
Nike Footwear Item 74,Limited edition design,Footwear,Nike,1370,1141,57,"https://source.unsplash.com/400x400/?product,nike-footwear-74"
Adidas Accessories Item 75,High quality and comfortable,Accessories,Adidas,3125,3017,85,"https://source.unsplash.com/400x400/?product,adidas-accessories-75"
Nike Men Item 76,Best seller of the season,Men,Nike,1591,1312,63,"https://source.unsplash.com/400x400/?product,nike-men-76"
Levi's Women Item 77,Limited edition design,Women,Levi's,624,352,14,"https://source.unsplash.com/400x400/?product,levi's-women-77"
Levi's Men Item 78,Perfect for daily wear,Men,Levi's,4119,4061,77,"https://source.unsplash.com/400x400/?product,levi's-men-78"
Zara Kids Item 79,High quality and comfortable,Kids,Zara,1458,1192,95,"https://source.unsplash.com/400x400/?product,zara-kids-79"
Levi's Footwear Item 80,Trendy and stylish,Footwear,Levi's,3867,3675,24,"https://source.unsplash.com/400x400/?product,levi's-footwear-80"
Levi's Women Item 81,Perfect for daily wear,Women,Levi's,4119,3925,15,"https://source.unsplash.com/400x400/?product,levi's-women-81"
Nike Men Item 82,Trendy and stylish,Men,Nike,3282,3185,45,"https://source.unsplash.com/400x400/?product,nike-men-82"
H&M Kids Item 83,Trendy and stylish,Kids,H&M,1439,1334,14,"https://source.unsplash.com/400x400/?product,h&m-kids-83"
Nike Footwear Item 84,Best seller of the season,Footwear,Nike,2455,2346,15,"https://source.unsplash.com/400x400/?product,nike-footwear-84"
Puma Kids Item 85,High quality and comfortable,Kids,Puma,4443,4273,75,"https://source.unsplash.com/400x400/?product,puma-kids-85"
Adidas Footwear Item 86,Perfect for daily wear,Footwear,Adidas,3312,3220,90,"https://source.unsplash.com/400x400/?product,adidas-footwear-86"
Adidas Kids Item 87,Perfect for daily wear,Kids,Adidas,2197,2069,45,"https://source.unsplash.com/400x400/?product,adidas-kids-87"
Puma Footwear Item 88,Limited edition design,Footwear,Puma,1047,993,49,"https://source.unsplash.com/400x400/?product,puma-footwear-88"
Puma Men Item 89,High quality and comfortable,Men,Puma,3622,3410,92,"https://source.unsplash.com/400x400/?product,puma-men-89"
H&M Accessories Item 90,Best seller of the season,Accessories,H&M,1607,1405,69,"https://source.unsplash.com/400x400/?product,h&m-accessories-90"
H&M Men Item 91,Limited edition design,Men,H&M,4898,4845,59,"https://source.unsplash.com/400x400/?product,h&m-men-91"
Levi's Men Item 92,Limited edition design,Men,Levi's,1750,1666,43,"https://source.unsplash.com/400x400/?product,levi's-men-92"
Levi's Accessories Item 93,Made from sustainable materials,Accessories,Levi's,3814,3711,91,"https://source.unsplash.com/400x400/?product,levi's-accessories-93"
Adidas Kids Item 94,Made from sustainable materials,Kids,Adidas,3837,3782,81,"https://source.unsplash.com/400x400/?product,adidas-kids-94"
Nike Footwear Item 95,High quality and comfortable,Footwear,Nike,4321,4030,40,"https://source.unsplash.com/400x400/?product,nike-footwear-95"
Puma Kids Item 96,Perfect for daily wear,Kids,Puma,2424,2339,94,"https://source.unsplash.com/400x400/?product,puma-kids-96"
Adidas Men Item 97,Limited edition design,Men,Adidas,3546,3402,15,"https://source.unsplash.com/400x400/?product,adidas-men-97"
Nike Men Item 98,Best seller of the season,Men,Nike,4311,4229,37,"https://source.unsplash.com/400x400/?product,nike-men-98"
Levi's Kids Item 99,Trendy and stylish,Kids,Levi's,4114,4042,84,"https://source.unsplash.com/400x400/?product,levi's-kids-99"
Adidas Women Item 100,Made from sustainable materials,Women,Adidas,2124,1860,52,"https://source.unsplash.com/400x400/?product,adidas-women-100"
Levi's Accessories Item 101,High quality and comfortable,Accessories,Levi's,2744,2579,24,"https://source.unsplash.com/400x400/?product,levi's-accessories-101"
Puma Accessories Item 102,High quality and comfortable,Accessories,Puma,3022,2808,50,"https://source.unsplash.com/400x400/?product,puma-accessories-102"
Levi's Women Item 103,Made from sustainable materials,Women,Levi's,4084,3938,24,"https://source.unsplash.com/400x400/?product,levi's-women-103"
Nike Accessories Item 104,Best seller of the season,Accessories,Nike,1606,1456,24,"https://source.unsplash.com/400x400/?product,nike-accessories-104"
Zara Men Item 105,Made from sustainable materials,Men,Zara,1326,1243,11,"https://source.unsplash.com/400x400/?product,zara-men-105"
Puma Accessories Item 106,Made from sustainable materials,Accessories,Puma,1319,1176,50,"https://source.unsplash.com/400x400/?product,puma-accessories-106"
H&M Women Item 107,High quality and comfortable,Women,H&M,2175,2104,60,"https://source.unsplash.com/400x400/?product,h&m-women-107"
Puma Women Item 108,High quality and comfortable,Women,Puma,4003,3840,70,"https://source.unsplash.com/400x400/?product,puma-women-108"
H&M Kids Item 109,Made from sustainable materials,Kids,H&M,2518,2369,99,"https://source.unsplash.com/400x400/?product,h&m-kids-109"
Puma Footwear Item 110,High quality and comfortable,Footwear,Puma,4701,4413,26,"https://source.unsplash.com/400x400/?product,puma-footwear-110"
Adidas Kids Item 111,High quality and comfortable,Kids,Adidas,3967,3722,76,"https://source.unsplash.com/400x400/?product,adidas-kids-111"
Zara Kids Item 112,Perfect for daily wear,Kids,Zara,579,365,59,"https://source.unsplash.com/400x400/?product,zara-kids-112"
Levi's Men Item 113,Limited edition design,Men,Levi's,724,627,76,"https://source.unsplash.com/400x400/?product,levi's-men-113"
Nike Women Item 114,Limited edition design,Women,Nike,4895,4803,89,"https://source.unsplash.com/400x400/?product,nike-women-114"
Zara Kids Item 115,Perfect for daily wear,Kids,Zara,2019,1967,83,"https://source.unsplash.com/400x400/?product,zara-kids-115"
Nike Kids Item 116,Perfect for daily wear,Kids,Nike,3443,3315,89,"https://source.unsplash.com/400x400/?product,nike-kids-116"
H&M Accessories Item 117,High quality and comfortable,Accessories,H&M,3762,3703,75,"https://source.unsplash.com/400x400/?product,h&m-accessories-117"
Adidas Kids Item 118,Limited edition design,Kids,Adidas,1515,1247,88,"https://source.unsplash.com/400x400/?product,adidas-kids-118"
Zara Kids Item 119,Limited edition design,Kids,Zara,2659,2401,98,"https://source.unsplash.com/400x400/?product,zara-kids-119"
H&M Men Item 120,Made from sustainable materials,Men,H&M,1873,1665,87,"https://source.unsplash.com/400x400/?product,h&m-men-120"
